"Date","Price","Open","High","Low","Vol.","Change %"
"02/10/2013","13.09","13.87","14.12","12.50","","-5.62%"
"02/03/2013","13.87","12.17","15.94","12.17","","13.97%"
"01/27/2013","12.17","11.34","13.12","11.44","","7.32%"
"01/20/2013","11.34","11.97","12.49","11.25","","-5.26%"
"01/13/2013","11.97","11.45","12.76","11.54","","4.54%"
"01/06/2013","11.45","12.68","13.20","9.68","","-9.70%"
"12/30/2012","12.68","16.04","17.62","12.55","","-20.95%"
"12/23/2012","16.04","14.24","16.10","14.24","","12.72%"
"12/16/2012","14.23","12.46","14.48","12.44","","14.21%"
"12/09/2012","12.46","13.87","14.81","12.44","","-10.10%"
"12/02/2012","13.86","14.17","14.45","13.64","","1.99%"
"11/25/2012","13.59","14.68","15.05","13.16","","-4.70%"
"11/18/2012","14.26","17.67","17.81","14.09","","-20.16%"
"11/11/2012","17.86","16.77","18.03","15.27","","11.76%"
"11/04/2012","15.98","16.07","17.92","14.79","","5.90%"
"10/28/2012","15.09","16.94","17.18","14.87","","-6.79%"
"10/21/2012","16.19","15.61","17.82","10.84","","6.79%"
"10/14/2012","15.16","16.12","16.12","14.48","","-2.76%"
"10/07/2012","15.59","15.94","17.10","14.62","","2.90%"
"09/30/2012","15.15","5.77","18.66","5.77","","162.56%"
"09/23/2012","5.77","14.71","17.14","5.76","","-60.77%"
"09/16/2012","14.71","16.20","16.73","14.43","","-4.42%"
"09/09/2012","15.39","17.02","18.68","14.35","","-5.93%"
"09/02/2012","16.36","19.49","21.48","16.22","","-16.06%"
"08/26/2012","19.49","17.83","21.22","17.44","","9.31%"
